scope,ownership,n_establishments,employees,total_hours,total_cases,deaths,trir,pct_of_scope_hours
All sectors,1 private,342786,41498214.0,69934511673.0,1207565.0,657.0,3.4534165496038236,89.87
All sectors,2 state government,15789,2810179.0,4882258373.0,66929.0,55.0,2.741722985007619,6.27
All sectors,3 local government,10992,1745576.0,2815811704.0,74527.0,33.0,5.293464750794999,3.62
All sectors,4 unknown / not coded,429,111201.0,184672045.0,3084.0,0.0,3.339974926903528,0.24
Public Administration,1 private,231,45972.0,75802363.0,1093.0,2.0,2.883815112729401,3.95
Public Administration,2 state government,2185,301034.0,530068973.0,12126.0,12.0,4.57525364345368,27.62
Public Administration,3 local government,5461,773096.0,1313546360.0,40664.0,19.0,6.191483032239532,68.43
