size_band,size_order,n_establishments,employees,total_hours,total_cases,deaths,trir,dart,n_legacy_size_code,pct_agree_with_osha_size,note
Under 20,1,99492,877054.0,1486378156.0,30964.0,38.0,4.166369086495106,2.6133322696650287,2296,88.62,
20-99,2,173400,8149308.0,14106587529.0,277306.0,250.0,3.9315816022822054,2.544527507181216,23192,92.18,
100-249,3,62586,9563457.0,16128635646.0,307143.0,208.0,3.808666854919912,2.534337119217976,6588,89.83,
250+,4,34518,27575351.0,46095652464.0,736692.0,249.0,3.196362175696917,1.960523285153168,605,94.99,
